XCOM: Silicon
Constituents (Atomic Number : Fraction by Weight)

    Z=14 : 1.000000

       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
                                             FIELD    FIELD    SCATT.   SCATT.
         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)

       1.000E-03 2.528E+00 1.317E-02 1.567E+03 0.000E+00 0.000E+00 1.570E+03 1.567E+03
       1.072E-03 2.491E+00 1.466E-02 1.302E+03 0.000E+00 0.000E+00 1.304E+03 1.302E+03
       1.150E-03 2.453E+00 1.631E-02 1.081E+03 0.000E+00 0.000E+00 1.084E+03 1.081E+03
       1.233E-03 2.413E+00 1.812E-02 8.985E+02 0.000E+00 0.000E+00 9.009E+02 8.985E+02
       1.322E-03 2.371E+00 2.007E-02 7.463E+02 0.000E+00 0.000E+00 7.487E+02 7.463E+02
       1.417E-03 2.326E+00 2.216E-02 6.198E+02 0.000E+00 0.000E+00 6.222E+02 6.199E+02
       1.500E-03 2.286E+00 2.393E-02 5.333E+02 0.000E+00 0.000E+00 5.356E+02 5.333E+02
       1.520E-03 2.276E+00 2.435E-02 5.146E+02 0.000E+00 0.000E+00 5.169E+02 5.146E+02
       1.630E-03 2.222E+00 2.664E-02 4.259E+02 0.000E+00 0.000E+00 4.281E+02 4.259E+02
       1.747E-03 2.164E+00 2.902E-02 3.525E+02 0.000E+00 0.000E+00 3.547E+02 3.526E+02
       1.839E-03 2.121E+00 3.081E-02 3.071E+02 0.000E+00 0.000E+00 3.092E+02 3.071E+02
       # 14 K
       1.874E-03 2.105E+00 3.149E-02 3.097E+03 0.000E+00 0.000E+00 3.099E+03 3.097E+03
       2.000E-03 2.048E+00 3.388E-02 2.775E+03 0.000E+00 0.000E+00 2.777E+03 2.775E+03
       2.009E-03 2.044E+00 3.405E-02 2.751E+03 0.000E+00 0.000E+00 2.753E+03 2.751E+03
       2.154E-03 1.981E+00 3.667E-02 2.382E+03 0.000E+00 0.000E+00 2.384E+03 2.382E+03
       2.310E-03 1.917E+00 3.934E-02 2.015E+03 0.000E+00 0.000E+00 2.017E+03 2.015E+03
       2.477E-03 1.851E+00 4.205E-02 1.676E+03 0.000E+00 0.000E+00 1.678E+03 1.676E+03
       2.656E-03 1.784E+00 4.478E-02 1.379E+03 0.000E+00 0.000E+00 1.381E+03 1.379E+03
       2.848E-03 1.718E+00 4.754E-02 1.131E+03 0.000E+00 0.000E+00 1.133E+03 1.131E+03
       3.000E-03 1.669E+00 4.962E-02 9.767E+02 0.000E+00 0.000E+00 9.784E+02 9.767E+02
       3.054E-03 1.652E+00 5.033E-02 9.296E+02 0.000E+00 0.000E+00 9.313E+02 9.296E+02
       3.275E-03 1.587E+00 5.313E-02 7.689E+02 0.000E+00 0.000E+00 7.705E+02 7.689E+02
       3.511E-03 1.522E+00 5.596E-02 6.384E+02 0.000E+00 0.000E+00 6.399E+02 6.384E+02
       3.765E-03 1.459E+00 5.882E-02 5.306E+02 0.000E+00 0.000E+00 5.321E+02 5.307E+02
       4.000E-03 1.404E+00 6.135E-02 4.514E+02 0.000E+00 0.000E+00 4.528E+02 4.514E+02
       4.037E-03 1.396E+00 6.173E-02 4.403E+02 0.000E+00 0.000E+00 4.417E+02 4.404E+02
       4.329E-03 1.334E+00 6.471E-02 3.640E+02 0.000E+00 0.000E+00 3.654E+02 3.641E+02
       4.642E-03 1.273E+00 6.775E-02 3.001E+02 0.000E+00 0.000E+00 3.014E+02 3.002E+02
       4.977E-03 1.212E+00 7.089E-02 2.470E+02 0.000E+00 0.000E+00 2.482E+02 2.470E+02
       5.000E-03 1.208E+00 7.110E-02 2.438E+02 0.000E+00 0.000E+00 2.451E+02 2.439E+02
       5.337E-03 1.152E+00 7.413E-02 2.030E+02 0.000E+00 0.000E+00 2.043E+02 2.031E+02
       5.722E-03 1.092E+00 7.749E-02 1.668E+02 0.000E+00 0.000E+00 1.680E+02 1.669E+02
       6.000E-03 1.051E+00 7.983E-02 1.458E+02 0.000E+00 0.000E+00 1.470E+02 1.459E+02
       6.136E-03 1.032E+00 8.095E-02 1.369E+02 0.000E+00 0.000E+00 1.380E+02 1.369E+02
       6.579E-03 9.715E-01 8.453E-02 1.122E+02 0.000E+00 0.000E+00 1.132E+02 1.122E+02
       7.055E-03 9.113E-01 8.822E-02 9.179E+01 0.000E+00 0.000E+00 9.279E+01 9.188E+01
       7.565E-03 8.514E-01 9.199E-02 7.504E+01 0.000E+00 0.000E+00 7.599E+01 7.513E+01
       8.000E-03 8.039E-01 9.507E-02 6.379E+01 0.000E+00 0.000E+00 6.469E+01 6.389E+01
       8.111E-03 7.922E-01 9.584E-02 6.128E+01 0.000E+00 0.000E+00 6.216E+01 6.137E+01
       8.698E-03 7.339E-01 9.975E-02 4.998E+01 0.000E+00 0.000E+00 5.081E+01 5.008E+01
       9.326E-03 6.771E-01 1.037E-01 4.072E+01 0.000E+00 0.000E+00 4.150E+01 4.083E+01
       1.000E-02 6.223E-01 1.076E-01 3.315E+01 0.000E+00 0.000E+00 3.388E+01 3.326E+01
       1.072E-02 5.697E-01 1.115E-01 2.696E+01 0.000E+00 0.000E+00 2.764E+01 2.707E+01
